DrawNumber: 2270; Actual: 1; Predicted: 1
DrawNumber: 2395; Actual: 6; Predicted: 6
DrawNumber: 2396; Actual: 4; Predicted: 4
DrawNumber: 2397; Actual: 6; Predicted: 6
DrawNumber: 2398; Actual: 7; Predicted: 7
DrawNumber: 2399; Actual: 2; Predicted: 2
DrawNumber: 2400; Actual: 7; Predicted: 7
DrawNumber: 2401; Actual: 1; Predicted: 1
DrawNumber: 2402; Actual: 5; Predicted: 5
DrawNumber: 2403; Actual: 3; Predicted: 3
DrawNumber: 2404; Actual: 5; Predicted: 5
DrawNumber: 2405; Actual: 5; Predicted: 5
DrawNumber: 2406; Actual: 5; Predicted: 5
DrawNumber: 2407; Actual: 5; Predicted: 5
DrawNumber: 2408; Actual: 6; Predicted: 6
DrawNumber: 2409; Actual: 2; Predicted: 2
DrawNumber: 2410; Actual: 3; Predicted: 3
DrawNumber: 2411; Actual: 1; Predicted: 1
DrawNumber: 2412; Actual: 6; Predicted: 6
DrawNumber: 2413; Actual: 6; Predicted: 6
DrawNumber: 2414; Actual: 2; Predicted: 2
DrawNumber: 2415; Actual: 6; Predicted: 7
DrawNumber: 2416; Actual: 7; Predicted: 7
DrawNumber: 2417; Actual: 7; Predicted: 7
DrawNumber: 2418; Actual: 7; Predicted: 7
DrawNumber: 2419; Actual: 5; Predicted: 5
DrawNumber: 2420; Actual: 6; Predicted: 6
DrawNumber: 2421; Actual: 4; Predicted: 4
DrawNumber: 2422; Actual: 1; Predicted: 1
DrawNumber: 2423; Actual: 1; Predicted: 0
DrawNumber: 2424; Actual: 1; Predicted: 1
DrawNumber: 2425; Actual: 5; Predicted: 5
DrawNumber: 2426; Actual: 7; Predicted: 7
DrawNumber: 2427; Actual: 4; Predicted: 4
DrawNumber: 2428; Actual: 5; Predicted: 7
DrawNumber: 2429; Actual: 7; Predicted: 7
DrawNumber: 2430; Actual: 4; Predicted: 4
DrawNumber: 2431; Actual: 1; Predicted: 1
DrawNumber: 2432; Actual: 6; Predicted: 6
DrawNumber: 2433; Actual: 3; Predicted: 3
DrawNumber: 2434; Actual: 1; Predicted: 1
DrawNumber: 2435; Actual: 2; Predicted: 2
DrawNumber: 2436; Actual: 4; Predicted: 4
DrawNumber: 2437; Actual: 1; Predicted: 1
DrawNumber: 2438; Actual: 2; Predicted: 2
DrawNumber: 2439; Actual: 4; Predicted: 4
DrawNumber: 2440; Actual: 7; Predicted: 7
DrawNumber: 2441; Actual: 4; Predicted: 4
DrawNumber: 2442; Actual: 3; Predicted: 3
DrawNumber: 2443; Actual: 2; Predicted: 2
DrawNumber: 2444; Actual: 3; Predicted: 3
DrawNumber: 2445; Actual: 2; Predicted: 2
DrawNumber: 2446; Actual: 6; Predicted: 6
DrawNumber: 2447; Actual: 7; Predicted: 7
DrawNumber: 2448; Actual: 3; Predicted: 3
DrawNumber: 2449; Actual: 1; Predicted: 1
DrawNumber: 2450; Actual: 1; Predicted: 0
DrawNumber: 2451; Actual: 3; Predicted: 3
DrawNumber: 2452; Actual: 6; Predicted: 6
DrawNumber: 2453; Actual: 3; Predicted: 3
DrawNumber: 2454; Actual: 5; Predicted: 5
DrawNumber: 2455; Actual: 1; Predicted: 1
DrawNumber: 2456; Actual: 4; Predicted: 4
DrawNumber: 2457; Actual: 2; Predicted: 2
DrawNumber: 2458; Actual: 1; Predicted: 1
DrawNumber: 2459; Actual: 7; Predicted: 7
DrawNumber: 2460; Actual: 2; Predicted: 2
DrawNumber: 2461; Actual: 4; Predicted: 4
DrawNumber: 2462; Actual: 4; Predicted: 4
DrawNumber: 2463; Actual: 2; Predicted: 2
DrawNumber: 2464; Actual: 5; Predicted: 5
DrawNumber: 2465; Actual: 4; Predicted: 4
DrawNumber: 2466; Actual: 7; Predicted: 7
DrawNumber: 2467; Actual: 7; Predicted: 7
DrawNumber: 2468; Actual: 5; Predicted: 5
DrawNumber: 2469; Actual: 5; Predicted: 5
DrawNumber: 2470; Actual: 1; Predicted: 1
DrawNumber: 2471; Actual: 6; Predicted: 7
DrawNumber: 2472; Actual: 5; Predicted: 5
DrawNumber: 2473; Actual: 6; Predicted: 6
DrawNumber: 2474; Actual: 1; Predicted: 1
DrawNumber: 2475; Actual: 3; Predicted: 3
DrawNumber: 2476; Actual: 3; Predicted: 3
DrawNumber: 2477; Actual: 4; Predicted: 4
DrawNumber: 2478; Actual: 1; Predicted: 1
DrawNumber: 2479; Actual: 1; Predicted: 1
DrawNumber: 2480; Actual: 1; Predicted: 0
DrawNumber: 2481; Actual: 4; Predicted: 4
DrawNumber: 2482; Actual: 5; Predicted: 5
DrawNumber: 2483; Actual: 4; Predicted: 4
DrawNumber: 2484; Actual: 3; Predicted: 3
DrawNumber: 2485; Actual: 1; Predicted: 1
DrawNumber: 2486; Actual: 3; Predicted: 3
DrawNumber: 2487; Actual: 7; Predicted: 6
DrawNumber: 2488; Actual: 4; Predicted: 4
DrawNumber: 2489; Actual: 5; Predicted: 5
DrawNumber: 2490; Actual: 1; Predicted: 1
DrawNumber: 2491; Actual: 5; Predicted: 5
DrawNumber: 2492; Actual: 5; Predicted: 5
DrawNumber: 2493; Actual: 3; Predicted: 3
DrawNumber: 2494; Actual: 7; Predicted: 7
DrawNumber: 2495; Actual: 1; Predicted: 1
DrawNumber: 2496; Actual: 2; Predicted: 2
DrawNumber: 2497; Actual: 3; Predicted: 3
DrawNumber: 2498; Actual: 4; Predicted: 4
DrawNumber: 2499; Actual: 1; Predicted: 1
DrawNumber: 2500; Actual: 5; Predicted: 5
DrawNumber: 2501; Actual: 6; Predicted: 6
DrawNumber: 2502; Actual: 6; Predicted: 6
DrawNumber: 2503; Actual: 4; Predicted: 4
DrawNumber: 2504; Actual: 7; Predicted: 7
DrawNumber: 2505; Actual: 6; Predicted: 6
DrawNumber: 2506; Actual: 5; Predicted: 5
DrawNumber: 2507; Actual: 5; Predicted: 5
DrawNumber: 2508; Actual: 3; Predicted: 3
DrawNumber: 2509; Actual: 6; Predicted: 6
DrawNumber: 2510; Actual: 7; Predicted: 7
DrawNumber: 2511; Actual: 3; Predicted: 3
DrawNumber: 2512; Actual: 4; Predicted: 4
DrawNumber: 2513; Actual: 4; Predicted: 4
DrawNumber: 2514; Actual: 6; Predicted: 6
DrawNumber: 2515; Actual: 5; Predicted: 5
DrawNumber: 2516; Actual: 2; Predicted: 2
DrawNumber: 2517; Actual: 4; Predicted: 4
DrawNumber: 2518; Actual: 2; Predicted: 2
DrawNumber: 2519; Actual: 7; Predicted: 7
DrawNumber: 2520; Actual: 1; Predicted: 1
DrawNumber: 2521; Actual: 2; Predicted: 2
DrawNumber: 2522; Actual: 6; Predicted: 6
DrawNumber: 2523; Actual: 3; Predicted: 3
DrawNumber: 2524; Actual: 3; Predicted: 3
DrawNumber: 2525; Actual: 1; Predicted: 1
DrawNumber: 2526; Actual: 6; Predicted: 6
DrawNumber: 2527; Actual: 6; Predicted: 6
DrawNumber: 2528; Actual: 2; Predicted: 0
DrawNumber: 2529; Actual: 7; Predicted: 7
DrawNumber: 2530; Actual: 4; Predicted: 4
DrawNumber: 2531; Actual: 4; Predicted: 4
DrawNumber: 2532; Actual: 5; Predicted: 5
DrawNumber: 2533; Actual: 7; Predicted: 7
DrawNumber: 2534; Actual: 4; Predicted: 4
DrawNumber: 2535; Actual: 4; Predicted: 4
DrawNumber: 2536; Actual: 7; Predicted: 7
DrawNumber: 2537; Actual: 3; Predicted: 3
DrawNumber: 2538; Actual: 3; Predicted: 3
DrawNumber: 2539; Actual: 3; Predicted: 3
DrawNumber: 2540; Actual: 1; Predicted: 1
DrawNumber: 2541; Actual: 5; Predicted: 6
DrawNumber: 2542; Actual: 3; Predicted: 3
DrawNumber: 2543; Actual: 4; Predicted: 4
DrawNumber: 2544; Actual: 4; Predicted: 4
DrawNumber: 2545; Actual: 7; Predicted: 7
DrawNumber: 2546; Actual: 2; Predicted: 2
DrawNumber: 2547; Actual: 5; Predicted: 6
DrawNumber: 2548; Actual: 5; Predicted: 5
DrawNumber: 2549; Actual: 7; Predicted: 7
DrawNumber: 2550; Actual: 2; Predicted: 2
DrawNumber: 2551; Actual: 6; Predicted: 6
DrawNumber: 2552; Actual: 6; Predicted: 5
DrawNumber: 2553; Actual: 5; Predicted: 5
DrawNumber: 2554; Actual: 3; Predicted: 3
DrawNumber: 2555; Actual: 3; Predicted: 3
DrawNumber: 2556; Actual: 4; Predicted: 4
DrawNumber: 2557; Actual: 6; Predicted: 7
DrawNumber: 2558; Actual: 6; Predicted: 6
DrawNumber: 2559; Actual: 2; Predicted: 2
DrawNumber: 2560; Actual: 6; Predicted: 6
DrawNumber: 2561; Actual: 6; Predicted: 6
DrawNumber: 2562; Actual: 2; Predicted: 2
DrawNumber: 2563; Actual: 3; Predicted: 3
DrawNumber: 2564; Actual: 7; Predicted: 7
DrawNumber: 2565; Actual: 2; Predicted: 2
DrawNumber: 2566; Actual: 3; Predicted: 3
DrawNumber: 2567; Actual: 2; Predicted: 2
DrawNumber: 2568; Actual: 2; Predicted: 2
DrawNumber: 2569; Actual: 2; Predicted: 2
DrawNumber: 2570; Actual: 1; Predicted: 1
DrawNumber: 2571; Actual: 6; Predicted: 6
DrawNumber: 2572; Actual: 3; Predicted: 3
DrawNumber: 2573; Actual: 5; Predicted: 5
DrawNumber: 2574; Actual: 7; Predicted: 7
DrawNumber: 2575; Actual: 5; Predicted: 5
DrawNumber: 2576; Actual: 1; Predicted: 1
DrawNumber: 2577; Actual: 7; Predicted: 7
DrawNumber: 2578; Actual: 3; Predicted: 3
DrawNumber: 2579; Actual: 4; Predicted: 4
DrawNumber: 2580; Actual: 2; Predicted: 2
DrawNumber: 2581; Actual: 6; Predicted: 6
DrawNumber: 2582; Actual: 2; Predicted: 2
DrawNumber: 2583; Actual: 3; Predicted: 3
DrawNumber: 2584; Actual: 7; Predicted: 7
DrawNumber: 2585; Actual: 3; Predicted: 3
DrawNumber: 2586; Actual: 7; Predicted: 7
DrawNumber: 2587; Actual: 1; Predicted: 2
DrawNumber: 2588; Actual: 2; Predicted: 2
DrawNumber: 2589; Actual: 3; Predicted: 3
DrawNumber: 2590; Actual: 5; Predicted: 5
DrawNumber: 2591; Actual: 4; Predicted: 4
DrawNumber: 2592; Actual: 6; Predicted: 6
DrawNumber: 2593; Actual: 6; Predicted: 6
DrawNumber: 2594; Actual: 7; Predicted: 7
DrawNumber: 2595; Actual: 5; Predicted: 5
DrawNumber: 2596; Actual: 4; Predicted: 4
DrawNumber: 2597; Actual: 1; Predicted: 1
DrawNumber: 2598; Actual: 2; Predicted: 2
DrawNumber: 2599; Actual: 5; Predicted: 5
DrawNumber: 2600; Actual: 4; Predicted: 4
DrawNumber: 2601; Actual: 5; Predicted: 5
DrawNumber: 2602; Actual: 5; Predicted: 5
DrawNumber: 2603; Actual: 2; Predicted: 2
DrawNumber: 2604; Actual: 6; Predicted: 6
DrawNumber: 2605; Actual: 7; Predicted: 6
DrawNumber: 2606; Actual: 2; Predicted: 2
DrawNumber: 2607; Actual: 4; Predicted: 4
DrawNumber: 2608; Actual: 4; Predicted: 4
DrawNumber: 2609; Actual: 4; Predicted: 4
DrawNumber: 2610; Actual: 4; Predicted: 4
DrawNumber: 2611; Actual: 6; Predicted: 7
DrawNumber: 2612; Actual: 6; Predicted: 6
DrawNumber: 2613; Actual: 6; Predicted: 6
DrawNumber: 2614; Actual: 2; Predicted: 2
DrawNumber: 2615; Actual: 5; Predicted: 5
DrawNumber: 2616; Actual: 3; Predicted: 3
DrawNumber: 2617; Actual: 2; Predicted: 2
DrawNumber: 2618; Actual: 3; Predicted: 2
DrawNumber: 2619; Actual: 7; Predicted: 7
DrawNumber: 2620; Actual: 5; Predicted: 5
DrawNumber: 2621; Actual: 1; Predicted: 1
DrawNumber: 2622; Actual: 3; Predicted: 3
DrawNumber: 2623; Actual: 1; Predicted: 0
DrawNumber: 2624; Actual: 3; Predicted: 3
DrawNumber: 2625; Actual: 6; Predicted: 5
DrawNumber: 2626; Actual: 5; Predicted: 5
DrawNumber: 2627; Actual: 1; Predicted: 1
DrawNumber: 2628; Actual: 5; Predicted: 5
DrawNumber: 2629; Actual: 3; Predicted: 3
DrawNumber: 2630; Actual: 4; Predicted: 4
DrawNumber: 2631; Actual: 6; Predicted: 6
DrawNumber: 2632; Actual: 6; Predicted: 6
DrawNumber: 2633; Actual: 7; Predicted: 7
DrawNumber: 2634; Actual: 4; Predicted: 4
DrawNumber: 2635; Actual: 2; Predicted: 2
DrawNumber: 2636; Actual: 7; Predicted: 7
DrawNumber: 2637; Actual: 1; Predicted: 1
DrawNumber: 2638; Actual: 2; Predicted: 2
DrawNumber: 2639; Actual: 2; Predicted: 2
DrawNumber: 2640; Actual: 5; Predicted: 5
DrawNumber: 2641; Actual: 5; Predicted: 5
DrawNumber: 2642; Actual: 1; Predicted: 1
DrawNumber: 2643; Actual: 5; Predicted: 5
DrawNumber: 2644; Actual: 5; Predicted: 5
DrawNumber: 2645; Actual: 5; Predicted: 5
DrawNumber: 2646; Actual: 4; Predicted: 4
DrawNumber: 2647; Actual: 4; Predicted: 4
DrawNumber: 2648; Actual: 2; Predicted: 2
DrawNumber: 2649; Actual: 5; Predicted: 5
DrawNumber: 2650; Actual: 4; Predicted: 4
DrawNumber: 2651; Actual: 1; Predicted: 1
DrawNumber: 2652; Actual: 2; Predicted: 2
DrawNumber: 2653; Actual: 7; Predicted: 7
DrawNumber: 2654; Actual: 4; Predicted: 4
DrawNumber: 2655; Actual: 6; Predicted: 6
DrawNumber: 2656; Actual: 5; Predicted: 5
DrawNumber: 2657; Actual: 1; Predicted: 1
DrawNumber: 2658; Actual: 1; Predicted: 1
DrawNumber: 2659; Actual: 3; Predicted: 3
DrawNumber: 2660; Actual: 5; Predicted: 6
DrawNumber: 2661; Actual: 2; Predicted: 2
DrawNumber: 2662; Actual: 4; Predicted: 4
DrawNumber: 2663; Actual: 2; Predicted: 2
DrawNumber: 2664; Actual: 1; Predicted: 1
DrawNumber: 2665; Actual: 4; Predicted: 4
DrawNumber: 2666; Actual: 6; Predicted: 6
DrawNumber: 2667; Actual: 3; Predicted: 3
DrawNumber: 2668; Actual: 1; Predicted: 1
DrawNumber: 2669; Actual: 4; Predicted: 4
DrawNumber: 2670; Actual: 5; Predicted: 5
DrawNumber: 2671; Actual: 2; Predicted: 2
DrawNumber: 2672; Actual: 1; Predicted: 1
DrawNumber: 2673; Actual: 1; Predicted: 1
DrawNumber: 2674; Actual: 2; Predicted: 2
DrawNumber: 2675; Actual: 7; Predicted: 7
DrawNumber: 2676; Actual: 3; Predicted: 3
DrawNumber: 2677; Actual: 4; Predicted: 4
DrawNumber: 2678; Actual: 6; Predicted: 6
DrawNumber: 2679; Actual: 6; Predicted: 5
DrawNumber: 2680; Actual: 2; Predicted: 3
DrawNumber: 2681; Actual: 2; Predicted: 2
DrawNumber: 2682; Actual: 1; Predicted: 1
DrawNumber: 2683; Actual: 1; Predicted: 1
DrawNumber: 2684; Actual: 1; Predicted: 1
DrawNumber: 2685; Actual: 7; Predicted: 7
DrawNumber: 2686; Actual: 1; Predicted: 1
DrawNumber: 2687; Actual: 6; Predicted: 6
DrawNumber: 2688; Actual: 4; Predicted: 7
DrawNumber: 2689; Actual: 4; Predicted: 4
DrawNumber: 2690; Actual: 4; Predicted: 4
DrawNumber: 2691; Actual: 2; Predicted: 2
DrawNumber: 2692; Actual: 4; Predicted: 5
DrawNumber: 2693; Actual: 5; Predicted: 5
DrawNumber: 2694; Actual: 2; Predicted: 2
DrawNumber: 2695; Actual: 3; Predicted: 3
DrawNumber: 2696; Actual: 4; Predicted: 4
DrawNumber: 2697; Actual: 4; Predicted: 4
DrawNumber: 2698; Actual: 3; Predicted: 3
DrawNumber: 2699; Actual: 7; Predicted: 7
DrawNumber: 2700; Actual: 5; Predicted: 5
DrawNumber: 2701; Actual: 2; Predicted: 2
DrawNumber: 2702; Actual: 6; Predicted: 6
DrawNumber: 2703; Actual: 2; Predicted: 2
DrawNumber: 2704; Actual: 5; Predicted: 5
DrawNumber: 2705; Actual: 7; Predicted: 7
DrawNumber: 2706; Actual: 3; Predicted: 2
DrawNumber: 2707; Actual: 5; Predicted: 5
DrawNumber: 2708; Actual: 3; Predicted: 4
DrawNumber: 2709; Actual: 3; Predicted: 3
DrawNumber: 2710; Actual: 3; Predicted: 4
DrawNumber: 2711; Actual: 3; Predicted: 3
DrawNumber: 2712; Actual: 2; Predicted: 2
DrawNumber: 2713; Actual: 4; Predicted: 4
DrawNumber: 2714; Actual: 3; Predicted: 3
DrawNumber: 2715; Actual: 6; Predicted: 7
DrawNumber: 2716; Actual: 3; Predicted: 3
DrawNumber: 2717; Actual: 1; Predicted: 1
DrawNumber: 2718; Actual: 7; Predicted: 7
DrawNumber: 2719; Actual: 5; Predicted: 5
DrawNumber: 2720; Actual: 4; Predicted: 4
DrawNumber: 2721; Actual: 7; Predicted: 7
DrawNumber: 2722; Actual: 6; Predicted: 6
DrawNumber: 2723; Actual: 1; Predicted: 2
DrawNumber: 2724; Actual: 7; Predicted: 7
DrawNumber: 2725; Actual: 6; Predicted: 5
DrawNumber: 2726; Actual: 7; Predicted: 5
DrawNumber: 2727; Actual: 4; Predicted: 4
DrawNumber: 2728; Actual: 7; Predicted: 7
DrawNumber: 2729; Actual: 6; Predicted: 6
DrawNumber: 2730; Actual: 6; Predicted: 6
DrawNumber: 2731; Actual: 3; Predicted: 3
DrawNumber: 2732; Actual: 6; Predicted: 6
DrawNumber: 2733; Actual: 1; Predicted: 1
DrawNumber: 2734; Actual: 5; Predicted: 5
DrawNumber: 2735; Actual: 2; Predicted: 2
DrawNumber: 2736; Actual: 1; Predicted: 1
DrawNumber: 2737; Actual: 5; Predicted: 5
DrawNumber: 2738; Actual: 1; Predicted: 1
DrawNumber: 2739; Actual: 3; Predicted: 3
DrawNumber: 2740; Actual: 5; Predicted: 5
DrawNumber: 2741; Actual: 6; Predicted: 7
DrawNumber: 2742; Actual: 7; Predicted: 7
DrawNumber: 2743; Actual: 5; Predicted: 5
DrawNumber: 2744; Actual: 2; Predicted: 2
DrawNumber: 2745; Actual: 6; Predicted: 7
DrawNumber: 2746; Actual: 4; Predicted: 4
DrawNumber: 2747; Actual: 5; Predicted: 5
DrawNumber: 2748; Actual: 7; Predicted: 6
DrawNumber: 2749; Actual: 5; Predicted: 5
DrawNumber: 2750; Actual: 5; Predicted: 5
DrawNumber: 2751; Actual: 6; Predicted: 7
DrawNumber: 2752; Actual: 2; Predicted: 2
DrawNumber: 2753; Actual: 1; Predicted: 1
DrawNumber: 2754; Actual: 6; Predicted: 6
DrawNumber: 2755; Actual: 1; Predicted: 1
DrawNumber: 2756; Actual: 2; Predicted: 2
DrawNumber: 2757; Actual: 7; Predicted: 7
DrawNumber: 2758; Actual: 6; Predicted: 6
DrawNumber: 2759; Actual: 5; Predicted: 5
DrawNumber: 2760; Actual: 4; Predicted: 4
DrawNumber: 2761; Actual: 6; Predicted: 6
DrawNumber: 2762; Actual: 4; Predicted: 4
DrawNumber: 2763; Actual: 2; Predicted: 2
DrawNumber: 2764; Actual: 1; Predicted: 1
DrawNumber: 2765; Actual: 1; Predicted: 1
DrawNumber: 2766; Actual: 3; Predicted: 3
DrawNumber: 2767; Actual: 4; Predicted: 4
DrawNumber: 2768; Actual: 7; Predicted: 6
DrawNumber: 2769; Actual: 4; Predicted: 4
DrawNumber: 2770; Actual: 2; Predicted: 2
DrawNumber: 2771; Actual: 3; Predicted: 3
DrawNumber: 2772; Actual: 7; Predicted: 7
DrawNumber: 2773; Actual: 5; Predicted: 5
DrawNumber: 2774; Actual: 6; Predicted: 5
DrawNumber: 2775; Actual: 6; Predicted: 6
DrawNumber: 2776; Actual: 3; Predicted: 3
DrawNumber: 2777; Actual: 7; Predicted: 7
DrawNumber: 2778; Actual: 4; Predicted: 4
DrawNumber: 2779; Actual: 3; Predicted: 3
DrawNumber: 2780; Actual: 4; Predicted: 4
DrawNumber: 2781; Actual: 5; Predicted: 5
DrawNumber: 2782; Actual: 6; Predicted: 6
DrawNumber: 2783; Actual: 2; Predicted: 2
DrawNumber: 2784; Actual: 3; Predicted: 3
DrawNumber: 2785; Actual: 6; Predicted: 6
DrawNumber: 2786; Actual: 3; Predicted: 3
DrawNumber: 2787; Actual: 1; Predicted: 0
DrawNumber: 2788; Actual: 4; Predicted: 4
DrawNumber: 2789; Actual: 3; Predicted: 2
DrawNumber: 2790; Actual: 2; Predicted: 2
DrawNumber: 2791; Actual: 1; Predicted: 1
DrawNumber: 2792; Actual: 1; Predicted: 1
DrawNumber: 2793; Actual: 0; Predicted: 1
DrawNumber: 2794; Actual: 4; Predicted: 4
DrawNumber: 2795; Actual: 1; Predicted: 1
DrawNumber: 2796; Actual: 7; Predicted: 7
DrawNumber: 2797; Actual: 6; Predicted: 6
DrawNumber: 2798; Actual: 7; Predicted: 7
DrawNumber: 2799; Actual: 4; Predicted: 4
DrawNumber: 2800; Actual: 5; Predicted: 5
DrawNumber: 2801; Actual: 4; Predicted: 4
DrawNumber: 2802; Actual: 6; Predicted: 7
DrawNumber: 2803; Actual: 4; Predicted: 4
DrawNumber: 2804; Actual: 2; Predicted: 2
DrawNumber: 2805; Actual: 3; Predicted: 3
DrawNumber: 2806; Actual: 7; Predicted: 7
